customer_id,customer_name,city,state,customer_segment
C0001,Arjun Das,Kolkata,West Bengal,Consumer
C0002,Isha Sharma,Hyderabad,Telangana,Consumer
C0003,Rohan Kumar,Lucknow,Uttar Pradesh,Corporate
C0004,Varun Gupta,Ahmedabad,Gujarat,Corporate
C0005,Meera Das,Chennai,Tamil Nadu,Consumer
C0006,Rohan Kumar,Kolkata,West Bengal,Corporate
C0007,Vikram Iyer,Kochi,Kerala,Consumer
C0008,Aarav Bhat,Delhi,Delhi,Corporate
C0009,Arjun Singh,Kolkata,West Bengal,Corporate
C0010,Meera Nair,Lucknow,Uttar Pradesh,Consumer
C0011,Aarav Kapoor,Lucknow,Uttar Pradesh,Consumer
C0012,Varun Das,Ahmedabad,Gujarat,Consumer
C0013,Nikhil Singh,Chennai,Tamil Nadu,Small Business
C0014,Nikhil Mehta,Hyderabad,Telangana,Consumer
C0015,Rohan Rao,Ahmedabad,Gujarat,Small Business
C0016,Riya Mehta,Ahmedabad,Gujarat,Consumer
C0017,Rohan Reddy,Delhi,Delhi,Consumer
C0018,Riya Mehta,Pune,Maharashtra,Consumer
C0019,Vikram Kumar,Chennai,Tamil Nadu,Consumer
C0020,Ananya Iyer,Mumbai,Maharashtra,Small Business
C0021,Kavya Verma,Ahmedabad,Gujarat,Consumer
C0022,Ananya Verma,Chandigarh,Chandigarh,Consumer
C0023,Amit Verma,Pune,Maharashtra,Consumer
C0024,Divya Verma,Mumbai,Maharashtra,Consumer
C0025,Varun Kumar,Chandigarh,Chandigarh,Consumer
C0026,Kiran Nair,Chennai,Tamil Nadu,Consumer
C0027,Sneha Singh,Bengaluru,Karnataka,Corporate
C0028,Aarav Sharma,Chandigarh,Chandigarh,Consumer
C0029,Vikram Kumar,Kochi,Kerala,Consumer
C0030,Kavya Singh,Pune,Maharashtra,Consumer
C0031,Amit Iyer,Chandigarh,Chandigarh,Consumer
C0032,Amit Nair,Jaipur,Rajasthan,Small Business
C0033,Rohan Sharma,Bengaluru,Karnataka,Consumer
C0034,Riya Kumar,Lucknow,Uttar Pradesh,Consumer
C0035,Neha Sharma,Lucknow,Uttar Pradesh,Corporate
C0036,Kiran Sharma,Kochi,Kerala,Consumer
C0037,Aditya Bhat,Chandigarh,Chandigarh,Consumer
C0038,Varun Verma,Chandigarh,Chandigarh,Small Business
C0039,Varun Bhat,Delhi,Delhi,Corporate
C0040,Amit Gupta,Chandigarh,Chandigarh,Small Business
C0041,Pooja Das,Kolkata,West Bengal,Consumer
C0042,Varun Patel,Hyderabad,Telangana,Consumer
